Index,MedianGridcode(freq),MeanRA,MedianRA,5thPercentileRA,95thPercentileRA,Age
53,5762,0.005081941,0.004,0.002,0.013,3000
54,5833,0.004913356,0.004,0.002,0.012,3030
55,5904,0.004884724,0.004,0.002,0.011,3050
56,5981,0.004939596,0.004,0.002,0.012,3070
57,6050,0.004894122,0.004,0.002,0.012,3090
58,6127,0.004873389,0.004,0.002,0.011,3110
59,6199,0.00467842,0.004,0.002,0.011,3130
60,6279,0.005115753,0.004,0.002,0.013,3150
61,6355,0.004883601,0.004,0.002,0.012,3170
62,6428,0.004606331,0.003,0.002,0.011,3180
63,6511,0.00487868,0.004,0.002,0.012,3200
64,6582,0.004867723,0.004,0.002,0.012,3210
65,6666,0.004861899,0.004,0.002,0.011,3220
66,6748,0.00487811,0.004,0.002,0.011,3240
67,6835,0.004789391,0.003,0.002,0.012,3250
68,6917,0.004850713,0.003,0.002,0.011,3260
69,6994,0.004833903,0.004,0.002,0.011,3270
70,7074,0.004550663,0.003,0.002,0.01,3280
71,7168,0.004752826,0.003,0.002,0.011,3290
72,7249,0.004642148,0.003,0.002,0.011,3300
73,7341,0.004764707,0.003,0.002,0.011,3310
74,7435,0.004897801,0.004,0.002,0.012,3320
75,7533,0.004673676,0.003,0.002,0.011,3330
76,7631,0.004536434,0.003,0.002,0.01,3340
77,7737,0.004596503,0.003,0.002,0.011,3350
78,7848,0.00472885,0.003,0.002,0.011,3350
79,7973,0.004536691,0.003,0.002,0.01,3360
80,8108,0.004730369,0.004,0.002,0.011,3370
81,8253,0.004415826,0.003,0.002,0.01,3380
82,8413,0.004589371,0.003,0.002,0.01,3390
83,8571,0.004575954,0.003,0.002,0.011,3400
84,8750,0.004411471,0.003,0.002,0.01,3410
85,8941,0.004486738,0.003,0.002,0.01,3420
86,9142,0.00439372,0.003,0.002,0.01,3430
87,9395,0.004368072,0.003,0.002,0.01,3450
88,9674,0.004382213,0.003,0.002,0.009,3460
89,10000,0.00408477,0.003,0.002,0.008,3470
90,10338,0.004253597,0.003,0.002,0.009,3480
91,10793,0.004025105,0.003,0.002,0.008,3500
92,11460,0.00383403,0.003,0.002,0.008,3520
93,12294,0.003705425,0.003,0.002,0.008,3540
94,13212,0.003499481,0.003,0.002,0.007,3560
95,14222,0.003453579,0.003,0.002,0.007,3580
96,15414,0.003421347,0.003,0.002,0.007,3600
97,17500,0.003281981,0.003,0.001,0.007,3630
98,20000,0.003586977,0.003,0.001,0.007,3660
99,25945,0.003274357,0.002,0.001,0.008,3710
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
